emb_id,category,variant_id,name,pattern,prior_note,target_note,voice,components,timing_ratio,anchor,is_default,alias,source_ms,notes,canntaireachd,cannt_short
Stable unique ID,"Doubling, movement, piobaireachd, etc.",Alternative with same pattern,Display name,"ABC text inside braces, without {}","preceeding  note, or * for any ","Host note, or * for any target","pipes, later drums","Played notes, comma-separated",One positive decimal per component,"1..N, later lead or trail",if variants,Optional alias,Reference only,Human explanation/review notes,Nether Lorn/Campbell written vocable(s); target mappings where contextual,Pronunciation-oriented short/sung form
grace_a,grace_note,,High A (thumb) gracenote,a,*,*,pipes,a,1.0,1,1,tg,25,Contextual wildcard retained by decision. High-A grace is used when a transition involves High G; exclude target a. Exact Nether Lorn/Campbell vocable depends on melodic context.,contextual: High-A grace before/after High G,contextual
grace_g_G,grace_note,,High G gracenote on Low G,g,*,G,pipes,g,1.0,1,1,gg,25,Target-specific row for formal canntaireachd.,him,him / hum
grace_g_A,grace_note,,High G gracenote on Low A,g,*,A,pipes,g,1.0,1,1,gg,25,Target-specific row for formal canntaireachd.,hin,hin / hun
grace_g_B,grace_note,,High G gracenote on B,g,*,B,pipes,g,1.0,1,1,gg,25,Target-specific row for formal canntaireachd.,hio,hyo
grace_g_c,grace_note,,High G gracenote on C,g,*,c,pipes,g,1.0,1,1,gg,25,Target-specific row for formal canntaireachd.,ho,hoh
grace_g_d,grace_note,,High G gracenote on D,g,*,d,pipes,g,1.0,1,1,gg,25,Target-specific row for formal canntaireachd.,ha,hah
grace_g_e,grace_note,,High G gracenote on E,g,*,e,pipes,g,1.0,1,1,gg,25,Target-specific row for formal canntaireachd.,che,chay
grace_g_f,grace_note,,High G gracenote on F,g,*,f,pipes,g,1.0,1,1,gg,25,Target-specific row for formal canntaireachd.,he,hay
grace_d_G,grace_note,,D gracenote on Low G,d,*,G,pipes,d,1.0,1,1,dg,25,Nether Lorn/Campbell gives two accepted written alternatives for this target.,dam; bam,dam / bam
grace_d_A,grace_note,,D gracenote on Low A,d,*,A,pipes,d,1.0,1,1,dg,25,Target-specific row for formal canntaireachd.,dan,dan
grace_d_B,grace_note,,D gracenote on B,d,*,B,pipes,d,1.0,1,1,dg,25,Target-specific row for formal canntaireachd.,to,toe
grace_d_c,grace_note,,D gracenote on C,d,*,c,pipes,d,1.0,1,1,dg,25,Target-specific row for formal canntaireachd.,do,daw
grace_e_G,grace_note,,E gracenote on Low G,e,*,G,pipes,e,1.0,1,1,eg,25,Target-specific row; the formal written vocable is identical to the plain Low-G form.,em,em
grace_e_A,grace_note,,E gracenote on Low A,e,*,A,pipes,e,1.0,1,1,eg,25,Target-specific row; the formal written vocable is identical to the plain Low-A form.,en,en
grace_e_B,grace_note,,E gracenote on B,e,*,B,pipes,e,1.0,1,1,eg,25,Target-specific row for formal canntaireachd.,eo,yoh
grace_e_c,grace_note,,E gracenote on C,e,*,c,pipes,e,1.0,1,1,eg,25,Target-specific row for formal canntaireachd.,eo,yoh
grace_e_d,grace_note,,E gracenote on D,e,*,d,pipes,e,1.0,1,1,eg,25,Target-specific row for formal canntaireachd.,ea,yah
